Name,Location,Cuisines,PriceRange,Ratings
Le Petit Souffle,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",3,Excellent
Izakaya Kikufuji,"Little Tokyo, Legaspi Village, Makati City",Japanese,3,Excellent
Heat - Edsa Shangri-La,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4,Very Good
Ooma,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",4,Excellent
Sambo Kojin,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",4,Excellent
Din Tai Fung,"SM Megamall, Ortigas, Mandaluyong City",Chinese,3,Very Good
Buffet 101,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",4,Very Good
Vikings,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",4,Very Good
Spiral - Sofitel Philippine Plaza Manila,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",4,Excellent
Locavore,Kapitolyo,Filipino,3,Excellent
Silantro Fil-Mex,Kapitolyo,"Filipino, Mexican",3,Excellent
Mad Mark's Creamery & Good Eats,Kapitolyo,"American, Ice Cream, Desserts",3,Very Good
Silantro Fil-Mex,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",3,Excellent
Guevarra's,Addition Hills,Filipino,3,Very Good
Sodam Korean Restaurant,Little Baguio,Korean,3,Very Good
Cafe Arabelle,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",3,Good
Nonna's Pasta & Pizzeria,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",3,Very Good
Balay Dako,Tagaytay City,Filipino,3,Excellent
Hobing Korean Dessert Cafe,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",2,Excellent
Wildflour Cafe + Bakery,Bonifacio Global City,"Cafe, Bakery, American, Italian",4,Very Good
NIU by Vikings,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",4,Excellent
The Food Hall by Todd English,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",4,Excellent
Chez Michou,Asa Norte,"Fast Food, French",2,Average
CafÌ© Daniel Briand,Asa Norte,Cafe,1,Good
Casa do Biscoito Mineiro,Asa Norte,Bakery,2,Good
Maori,Asa Norte,Brazilian,3,Good
Pizza ÌÊ Bessa,Asa Sul,Pizza,2,Average
Sushi Loko,Asa Sul,Japanese,3,Average
Beirute,Asa Sul,Arabian,3,Good
New Koto,Asa Sul,Japanese,4,Good
Sandubas CafÌ©,Asa Sul,"Brazilian, Cafe",1,Not rated
Villa Tevere,Asa Sul,Italian,4,Very Good
Rovereto,ÌÅguas Claras,Pizza,4,Average
Buena Carne,ÌÅguas Claras,"Bar Food, Brazilian",3,Good
Taco Pep,ÌÅguas Claras,"Mexican, Grill",4,Very Good
Coco Bambu,"BrasÌ_lia Shopping, Asa Norte",International,4,Very Good
TaypÌÁ,Lago Sul,"Peruvian, Latin American",4,Good
Outback Steakhouse,"ParkShopping, GuarÌÁ I","American, Grill",4,Very Good
ManzuÌÁ,"PontÌ£o Lago Sul, Lago Sul",Seafood,4,Average
Coco Bambu,Setor De Clubes Esportivos Sul,International,4,Excellent
Gero,"Shopping Iguatemi, Lago Norte",Italian,4,Average
Brazilian American Burgers,Sudoeste,"American, Burger",2,Good
Pesqueiro Eco Gourmet,Barra da Tijuca,"Seafood, Bar Food, Brazilian",4,Very Good
Confeitaria Colombo,Centro,"Desserts, Cafe",4,Excellent
Bibi,Copacabana,"Juices, Healthy Food",3,Excellent
Cervantes,Copacabana,"Beverages, Bar Food, Fast Food",3,Excellent
Amir,Copacabana,Lebanese,4,Very Good
TT Burger,"Galeria River, Copacabana",Burger,3,Excellent
Braseiro da GÌÁvea,GÌÁvea,"Brazilian, Bar Food",4,Excellent
Balada Mix,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",3,Excellent
Garota de Ipanema,Ipanema,"Brazilian, Bar Food",4,Excellent
ZazÌÁ BistrÌ« Tropical,Ipanema,Brazilian,4,Excellent
FilÌ© de Ouro,Lagoa,Brazilian,3,Very Good
D.O.C Ristorante,"Le Monde, Barra da Tijuca",Italian,4,Very Good
Sushi Leblon,Leblon,Japanese,4,Excellent
Talho Capixaba,Leblon,"Bakery, Sandwich, Brazilian",4,Very Good
Leme Light,Leme,Brazilian,2,Very Good
Shirley,Leme,"Brazilian, Seafood",4,Very Good
Quiosque Chopp Brahma,Madureira,"Bar Food, Brazilian",3,Not rated
AprazÌ_vel,Santa Teresa,Brazilian,4,Excellent
Aconchego Carioca,Tijuca,"Brazilian, Bar Food",3,Excellent
Garota de Ipanema,Urca,"Brazilian, Bar Food",3,Very Good
Cantina Famiglia Mancini,"Bela Vista, Centro","Italian, Pizza",4,Excellent
Templo da Carne - Marcos Bassi,"Bela Vista, Centro","Steak, BBQ",4,Very Good
Gopala Hari,ConsolaÌ_Ì£o,Indian,3,Average
Jiquitaia,ConsolaÌ_Ì£o,Brazilian,4,Very Good
Skye - Hotel Unique,"Hotel Unique, Jardim Paulista","Beverages, International",4,Excellent
Les 3 Brasseurs,Itaim Bibi,"French, Brazilian, Beverages",4,Excellent
Red Steak & Burger,Itaim Bibi,"Brazilian, Grill",3,Good
Cantinho da Gula,Itaim Bibi,Brazilian,2,Not rated
Paris 6 Classique,Jardim Paulista,French,4,Average
Kawa Sushi,Jardim Paulista,"Sushi, Japanese",4,Good
A Figueira Rubaiyat,Jardim Paulista,"BBQ, Grill, Brazilian",4,Very Good
Kinoshita,Moema,Sushi,4,Good
Meats,Pinheiros,"Gourmet Fast Food, Burger",4,Very Good
Paribar,RepÌ_blica,"Brazilian, Italian",4,Very Good
TerraÌ_o ItÌÁlia,RepÌ_blica,Italian,4,Very Good
Divino FogÌ£o,"Shopping MetrÌ« Santa Cruz, Vila Mariana","Brazilian, Mineira",3,Not rated
Super Grill,"Shopping Morumbi, Santo Amaro",Brazilian,2,Not rated
Esquina MocotÌ_,Vila Maria,"Brazilian, North Eastern",4,Very Good
Veloso,Vila Mariana,"Brazilian, Bar Food, Beverages",3,Excellent
Sainte Marie Gastronomia,Vila SÌ«nia,"Lebanese, Arabian",4,Very Good
Austin's BBQ and Oyster Bar,Albany,"BBQ, Burger, Seafood",2,Average
BJ's Country Buffet,Albany,"American, BBQ",1,Average
Cookie Shoppe,Albany,,1,Average
El Vaquero Mexican Restaurant,Albany,Mexican,1,Average
Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich",1,Average
Pearly's Famous Country Cookng,Albany,,1,Average
Chick-fil-A,Albany,Fast Food,1,Good
Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian",1,Good
Harvest Moon,Albany,"Pizza, Bar Food, Sandwich",2,Good
Henry Campbell's Steakhouse,Albany,"Steak, Tapas, Bar Food",4,Good
Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian",2,Good
House of China Restaurant II,Albany,Chinese,1,Good
Jimmie's Hot Dogs,Albany,,1,Good
Locos Grill & Pub,Albany,"American, Burger, Sandwich",2,Good
Longhorn Steakhouse,Albany,"American, Steak",2,Good
Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi",3,Good
Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi",3,Good
The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food",3,Good
Villa Gargano,Albany,"Italian, Pizza",1,Good
3 Squares Diner,Sylvester,"American, Breakfast, Diner",1,Average
Whitebull Hotel,Armidale,"Bar Food, Steak",2,Good
Last Resort Grill,Athens,"American, Southern, Southwestern",3,Excellent
Mama's Boy Restaurant,Athens,Southern,1,Excellent
Sr. Sol 1,Athens,Mexican,1,Excellent
Choo Choo Eastside,Athens,"Japanese, Korean",1,Good
The Grill,Athens,"Breakfast, Burger, Sandwich",1,Good
Big City Bread Cafe,Athens,"Breakfast, Sandwich",1,Very Good
Clocked,Athens,"American, Burger, Sandwich",1,Very Good
DePalma's Italian Cafe - Downtown,Athens,"American, Italian, Pizza",2,Very Good
DePalma's Italian Cafe - East Side,Athens,"American, Italian, Pizza",2,Very Good
Five & Ten,Athens,American,3,Very Good
Grit,Athens,"International, Southern, Vegetarian",1,Very Good
Ike & Jane,Athens,Sandwich,1,Very Good
La Dolce Vita Ristorante,Athens,Italian,3,Very Good
Shokitini,Athens,"Asian, Japanese, Sushi",2,Very Good
Taqueria Del Sol,Athens,"Mexican, Spanish",1,Very Good
The National,Athens,"International, Southern",3,Very Good
The Royal Peasant,Athens,Bar Food,1,Very Good
Transmetropolitan,Athens,"Italian, Pizza, Sandwich",1,Very Good
Trappeze Pub,Athens,"Burger, Bar Food",2,Very Good
Viva! Argentine Cuisine,Athens,"Desserts, Latin American, Argentine",1,Very Good
Miyabi Kyoto Japanese Steak House,Augusta,"Chinese, Steak",3,Excellent
Rae's Coastal Cafe,Augusta,"American, Caribbean, Seafood",3,Excellent
The Bee's Knees,Augusta,"International, Tapas, Vegetarian",2,Excellent
Boll Weevil Cafe,Augusta,"Desserts, Sandwich, Southern",1,Good
Farmhaus Burger,Augusta,"American, Burger",2,Good
Manuel's Bread Cafe,Augusta,"Breakfast, French",3,Good
Sconyers Bar B Que,Augusta,BBQ,2,Good
Frog Hollow Tavern,Augusta,American,3,Very Good
Giuseppe's Pizza & Italian Specialities,Augusta,"Desserts, Italian, Pizza",2,Very Good
Mellow Mushroom,Augusta,"Italian, Pizza, Sandwich",2,Very Good
Nacho Mamas Burritos,Augusta,Mexican,1,Very Good
Rhinehart's Oyster Bar,Augusta,"Bar Food, Sandwich, Seafood",2,Very Good
Takosushi,Augusta,"Mexican, Southwestern, Sushi",3,Very Good
The Chop House,Augusta,Steak,3,Very Good
The Taj of India,Augusta,Indian,2,Very Good
Augsburg Haus,Evans,German,2,Good
Pho Bac,Evans,Vietnamese,1,Very Good
Rhinehart's Oyster Bar,Evans,"Burger, Seafood",2,Very Good
Thai Kitchen,Evans,Thai,3,Very Good
El Kiosco Mexican Restaurant,Grovetown,Mexican,1,Very Good
Taste of Balingup,Balingup,Modern Australian,2,Average
Bridge Road Brewers,Beechworth,"Pizza, Bar Food",2,Excellent
Bardenay,Boise,"American, Bar Food",2,Excellent
Flatbread Neapolitan Pizzeria,Boise,"Italian, Pizza",2,Excellent
Goldy's Breakfast Bistro,Boise,"Breakfast, Sandwich",2,Excellent
Chandlers Steakhouse,Boise,"American, Seafood, Steak",4,Good
Bar Gernika Basque Pub & Eatery,Boise,"European, Spanish",1,Very Good
Barbacoa Restaurant,Boise,"Latin American, Steak",4,Very Good
Big Jud's,Boise,"American, Burger, Sandwich",1,Very Good
Bittercreek Ale House,Boise,"American, Bar Food",2,Very Good
Boise Fry Company,Boise,"American, Burger",1,Very Good
Flying Pie Pizzaria,Boise,Pizza,2,Very Good
Fork,Boise,"American, Burger",2,Very Good
Guido's Original New York Style Pizza,Boise,Pizza,1,Very Good
Los Beto's,Boise,Mexican,1,Very Good
Lucianos Italian Restaurant,Boise,"Italian, Seafood, Vegetarian",2,Very Good
Mai Thai Restaurant,Boise,"Sushi, Thai",3,Very Good
Shige Japanese Cuisine,Boise,"Japanese, Sushi, Teriyaki",2,Very Good
The Egg Factory,Boise,Breakfast,1,Very Good
Tucanos,Boise,Brazilian,3,Very Good
Texas Roadhouse,Meridian,"American, BBQ, Steak",2,Very Good
Brick 29,Nampa,American,3,Very Good
Winifreds,Cedar Rapids,"American, Mediterranean, Seafood",3,Good
Biaggi's Ristorante Italiano,Cedar Rapids,"Italian, Pizza",3,Very Good
El Super Burrito,Cedar Rapids,Mexican,1,Very Good
Granite City Food & Brewery,Cedar Rapids,"American, Breakfast, Burger",3,Very Good
Irish Democrat,Cedar Rapids,"American, BBQ, Burger",2,Very Good
Taste of India,Cedar Rapids,Indian,2,Very Good
Thai Moon Restaurant,Cedar Rapids,"Chinese, Sushi, Thai",1,Very Good
Ting's Red Lantern,Cedar Rapids,Chinese,1,Very Good
Monica's,Coralville,"American, Italian, Pizza",2,Good
Exotic India,Coralville,Indian,2,Very Good
Shorts Burger and Shine,Iowa City,Burger,1,Excellent
The Hamburg Inn No. 2 Inc.,Iowa City,"American, Breakfast, Burger",1,Excellent
Bluebird Diner,Iowa City,"Breakfast, Diner",2,Good
Graze,Iowa City,"American, International, Sushi",3,Good
A & A Pagliai's Pizza,Iowa City,Pizza,2,Very Good
Atlas World Grill,Iowa City,International,3,Very Good
BlackStone,Iowa City,"American, Breakfast",2,Very Good
Devotay,Iowa City,"Mediterranean, Tapas, Vegetarian",3,Very Good
Jimmy Jack's Rib Shack,Iowa City,BBQ,2,Very Good
Zoeys Pizzeria,Marion,"Pizza, Sandwich",2,Excellent
Tokyo Sushi,Chatham-Kent,"Japanese, Sushi",2,Good
Berry Patch Restaurant,Clatskanie,"American, Breakfast, Desserts",1,Very Good
Sakura Sushi & Grill,Cochrane,"Asian, Japanese",2,Average
Uptown Vietnam cuisine,Columbus,"Asian, Vietnamese",1,Average
Cafe Le Rue @ The Landings,Columbus,"American, Seafood, Cajun",2,Excellent
Mark's City Grille,Columbus,American,2,Excellent
B Merrell's,Columbus,"Burger, Bar Food, Southern",2,Good
Cannon Brewpub,Columbus,"Pizza, Bar Food",2,Good
Fuji Japanese Steak House,Columbus,"Japanese, Steak",3,Good
Ruth Ann's Family Restaurant,Columbus,"Breakfast, Diner, Southern",1,Good
Samurai Japanese Cuisine & Sushi Bar,Columbus,"Japanese, Steak, Sushi",3,Good
Wasabi Sushi and Thai,Columbus,"Japanese, Sushi, Thai",3,Good
Buckhead Bar and Grill,Columbus,"Seafood, Steak, Vegetarian",3,Very Good
Burt's Butcher Shoppe and Eatery,Columbus,Steak,2,Very Good
Chef Lee's Peking Restaurant,Columbus,Chinese,2,Very Good
Country's Barbecue,Columbus,"BBQ, Southern",2,Very Good
Deorio's,Columbus,"Italian, Pizza",1,Very Good
Mellow Mushroom,Columbus,Pizza,2,Very Good
Meritage,Columbus,"American, Tapas",3,Very Good
Mongo The Mongolian Fire Pit,Columbus,"Asian, Chinese",1,Very Good
The Black Cow,Columbus,American,2,Very Good
Wood Stone,Columbus,"Italian, Mediterranean, Pizza",3,Very Good
Hunter's Pub,Hamilton,"American, Seafood, Steak",3,Very Good
Consort Restaurant,Consort,"Chinese, Canadian",2,Average
Thatcher's Barbeque and Grill,Calhoun,"American, BBQ, Southern",2,Good
Christian and Jake's Bistro,Calhoun,"Desserts, Sandwich",1,Very Good
Dub's High on the Hog,Calhoun,BBQ,2,Very Good
Sierra's Mexican Restaurant,Chatsworth,"Mexican, Tex-Mex",1,Good
Oakwood Cafe,Dalton,"BBQ, Breakfast, Southern",1,Excellent
Chili's Grill & Bar,Dalton,American,2,Good
Fuji Japanese Steakhouse,Dalton,"Japanese, Sushi",3,Good
Las Palmas,Dalton,Mexican,1,Good
Tony's Italian Restaurant & Pizza,Dalton,Italian,2,Good
Filling Station,Dalton,"American, Burger",1,Very Good
Five Guys Burgers and Fries,Dalton,Fast Food,1,Very Good
Los Pablos,Dalton,Mexican,1,Very Good
Kobe Hibachi & Sushi,Fort Oglethorpe,"American, Japanese, Sushi",2,Excellent
Soho Hibachi,Fort Oglethorpe,Japanese,1,Very Good
Thai Garden,Fort Oglethorpe,Thai,2,Very Good
Southern Bliss Bakery,LaFayette,"Desserts, Sandwich",1,Good
Bailey's Bar-B-Que,Ringgold,BBQ,1,Very Good
Farm To Fork,Ringgold,"American, Diner, Southern",1,Very Good
Home Plate Grill,Ringgold,"American, BBQ, Southern",1,Very Good
Pie Slingers Pizzeria,Rock Spring,"Italian, Pizza",1,Very Good
Olive Tree Cafe,Bettendorf,"Indian, Mediterranean, Middle Eastern",2,Excellent
"Red Ginger Sushi, Grill & Bar",Bettendorf,"Sushi, Teriyaki",3,Excellent
Crust Stone Oven Pizza,Bettendorf,"Burger, Pizza",2,Good
Jimmy's Pancake House,Bettendorf,"American, Breakfast, Greek",1,Very Good
Trattoria Tiramisu,Bettendorf,Italian,2,Very Good
Prairie Grille at SteepleGate Inn,Davenport,"American, Breakfast",2,Average
Tantra Asian Bistro,Davenport,Asian,2,Excellent
Chick-fil-A,Davenport,Fast Food,1,Good
Duck City Bistro,Davenport,"American, French",4,Good
Frick's Tap,Davenport,"American, Bar Food, BBQ",2,Not rated
Los Agaves,Davenport,Mexican,2,Not rated
Azteca,Davenport,Mexican,1,Very Good
China Cafe,Davenport,Chinese,2,Very Good
Exotic Thai Restaurant,Davenport,Thai,2,Very Good
Front Street Brewery,Davenport,American,1,Very Good
Granite City Food & Brewery,Davenport,American,2,Very Good
Los Agaves,Davenport,Mexican,2,Very Good
Machine Shed Restaurant,Davenport,American,2,Very Good
Osaka,Davenport,"Japanese, Sushi",3,Very Good
Texas Roadhouse,Davenport,"American, BBQ, Steak",2,Very Good
Hickory Park,Ames,"BBQ, Burger, Desserts",2,Excellent
The Cafe,Ames,"American, Coffee and Tea",2,Excellent
Flying Mango,Beaverdale,"BBQ, Caribbean, Cajun",3,Excellent
Cool Basil,Clive,"Asian, Sushi, Thai",2,Very Good
HuHot Mongolian Grill,Clive,"Asian, Chinese",2,Very Good
Malo,Downtown,"Latin American, Mexican",2,Average
Centro,Downtown,"Italian, Pizza",3,Excellent
Fong's Pizza,Downtown,"Chinese, Pizza",2,Excellent
A Dong Restaurant,Downtown,"Asian, Vegetarian, Vietnamese, Bubble Tea",1,Very Good
Court Avenue Brewing Company,Downtown,"American, Pizza, Bar Food",3,Very Good
Django,Downtown,French,3,Very Good
Miyabi 9,East Village,"Japanese, Sushi",2,Excellent
Zombie Burger + Drink Lab,East Village,"Burger, Desserts, Vegetarian",1,Very Good
Tursi's Latin King,Fairground,"American, Italian",4,Very Good
Tsing Tsao South,Greater South Side,Chinese,1,Very Good
Bandit Burrito,Johnston,"Breakfast, Mexican, Southwestern",1,Very Good
Jethro's BBQ,Kingman Place Historic District,"American, BBQ",2,Very Good
The Machine Shed Restaurant,Urbandale,"American, Breakfast",2,Good
Mi Patria,West Des Moines,Latin American,2,Very Good
Waterfront Seafood Market,West Des Moines,"Seafood, Sushi",3,Very Good
The Giggling Goat,Dicky Beach,"Coffee and Tea, Tea, Modern Australian",1,Good
Burnt Toast Cafe,Dubuque,Breakfast,1,Average
Catfish Charlie's,Dubuque,Seafood,2,Average
Salsa's Mexican Restaurant,Dubuque,Mexican,1,Average
Tony Roma's,Dubuque,"American, BBQ, Seafood",2,Average
Vinny Vanucchi's,Dubuque,Italian,2,Average
Champps Americana,Dubuque,"American, Burger, Sandwich",2,Good
Fiesta Cancun,Dubuque,Mexican,1,Good
Happy Joe's Pizza & Ice Cream,Dubuque,"Desserts, Pizza, Ice Cream",1,Good
Houlihan's,Dubuque,"American, Burger",2,Good
Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,"Japanese, Steak, Sushi",3,Good
Kalmes Breaktime Bar & Grill,Dubuque,"American, Burger",2,Good
L. May Eatery,Dubuque,"International, Pizza",3,Good
Los Aztecas,Dubuque,Mexican,1,Good
Manna Java World Cafe,Dubuque,"Breakfast, Pizza",1,Good
Mario's Italian Restaurant,Dubuque,"American, Italian",2,Good
Pepper Sprout Incorporated,Dubuque,American,3,Good
Shot Tower Inn,Dubuque,"Italian, Pizza",2,Good
Sunshine Family Restaurant,Dubuque,"American, Breakfast, Burger",1,Good
Watershed Cafe,Dubuque,"American, Burger, Pizza, Cafe",2,Good
Woodfire Grille,Dubuque,"American, Seafood, Steak",4,Good
The Belle General,East Ballina,Cafe,2,Very Good
Jehova es Mi Pastor Tacos y Burritos,Fernley,Mexican,1,Good
Flaxton Gardens,Flaxton,"Tea, Modern Australian",3,Good
Bespoke Harvest,Forrest,"Cafe, Australian",2,Good
Houndstooth Grill & Tavern,Braselton,"American, Sandwich, Seafood",2,Very Good
Hawg Wild BBQ & Catfish House,Clarkesville,"BBQ, Burger, Seafood",1,Very Good
Bourbon Street Grille,Dahlonega,"American, Burger, Cajun",2,Good
Corkscrew Cafe,Dahlonega,,3,Good
Smokin Gold BBQ,Dahlonega,BBQ,1,Good
Hoka-Hoka Japanese Steak & Sushi,Dahlonega,"Chinese, Japanese, Thai",1,Very Good
Shenanigan's Irish Pub,Dahlonega,"Bar Food, Seafood, Vegetarian",2,Very Good
Fish Tales Lakeside Grille,Flowery Branch,Seafood,2,Good
Antebellum,Flowery Branch,"American, Southern",3,Very Good
Moonie's Texas Barbecue,Flowery Branch,"BBQ, Sandwich",1,Very Good
Atlanta Highway Seafood Market,Gainesville,"Sandwich, Seafood, Cajun",2,Excellent
Eat at Thai,Gainesville,Thai,1,Excellent
Smoke House BBQ and Catering,Gainesville,BBQ,2,Good
2 Dog,Gainesville,"American, European, Sandwich",2,Very Good
Longstreet Cafe,Gainesville,Southern,1,Very Good
Re-Cess,Gainesville,"American, Southern",2,Very Good
Bodensee,Helen,German,3,Good
Hofer's Bakery & Cafe,Helen,"German, Ice Cream",1,Good
Troll Tavern,Helen,"Burger, German, Sandwich",2,Poor
The Nacoochee Village Tavern & Pizzeria,Helen,"Italian, Pizza, Sandwich",1,Very Good
Blue Bean Love Cafe,Hepburn Springs,"Cafe, Coffee and Tea, Modern Australian",2,Good
La Trattoria of Lavandula,Hepburn Springs,"Italian, Fusion, Cafe",1,Good
5 Little Pigs,Huskisson,"Breakfast, Modern Australian",2,Very Good
Beach Box Cafe,Inverloch,"Burger, Coffee and Tea, Modern Australian",1,Good
Funkey Monkey,Lakes Entrance,"Breakfast, Coffee and Tea",1,Good
Burger Queen Drive In,Lakeview,"Burger, Desserts, Sandwich",1,Good
Blue Orchid Thai Restaurant,Haymarket,Thai,2,Excellent
Stillwater on Belmore,Lorn,"Breakfast, Coffee and Tea",2,Good
Mr.,Macedon,Cafe,2,Good
Emilio's Cuban Cafe,Bonaire,"Coffee and Tea, Cuban, Latin American",2,Good
Ingleside Village Pizza,Macon,"Pizza, Sandwich",1,Excellent
Jim Shaw's Seafood Grill & Bar,Macon,Seafood,2,Excellent
Mandarin Chinese Restaurant,Macon,"Chinese, Thai",2,Excellent
Rookery,Macon,"Burger, Desserts, Bar Food",2,Excellent
Dovetail,Macon,,3,Good
Bonefish Grill,Macon,"American, Seafood",3,Very Good
Downtown Grill,Macon,Steak,4,Very Good
Greek Corner Deli,Macon,"Desserts, Greek, Sandwich",1,Very Good
Natalia's,Macon,"European, Italian, Mediterranean",4,Very Good
Papouli's Mediterranean Cafe & Market,Macon,"Greek, Mediterranean, Vegetarian",1,Very Good
Benson's Steak and Sushi,Warner Robins,"American, Chinese, Sushi",2,Good
My Fathers Place,Warner Robins,Italian,2,Good
Sushi Thai Restaurant,Warner Robins,"Japanese, Sushi, Thai",1,Good
The Mellow Mushroom,Warner Robins,"Pizza, Sandwich, Vegetarian",2,Good
El Jalisciense Mexican Restaurant,Warner Robins,Mexican,1,Very Good
Greek Village,Warner Robins,"American, Greek, Seafood",2,Very Good
Martin's BBQ,Warner Robins,BBQ,2,Very Good
Thai Pepper,Warner Robins,"Japanese, Sushi, Thai",1,Very Good
Zen Japanese Steakhouse and Sushi Bar,Warner Robins,"Japanese, Steak, Sushi",3,Very Good
Star Buffet,Mayfield,Asian,2,Average
Triangle Restaurant,Mc Millan,"Breakfast, Burger",1,Poor
Three Anchors,Middleton Beach,"Bar Food, Modern Australian",3,Good
HI Lite Bar & Lounge,Miller,,1,Average
Vince's Restaurant & Pizzeria,Monroe,"Italian, Pizza",2,Good
Poets Cafe,Montville,"Coffee and Tea, Modern Australian",3,Poor
The Artesian Restaurant,Ojo Caliente,"American, International, Southwestern",3,Good
CevÌ_che Tapas Bar & Restaurant,Church Street District,"Spanish, Tapas",3,Very Good
'Ohana,Disney World Area,Hawaiian,3,Excellent
Earl of Sandwich,Disney: Downtown Disney,"American, Sandwich, Salad",3,Excellent
Raglan Road Irish Pub and Restaurant,Disney: Downtown Disney,Irish,4,Very Good
CafÌ© Tu Tu Tango,I-Drive/Universal,"New American, Tapas",3,Excellent
Texas de Brazil,I-Drive/Universal,"Brazilian, Steak",4,Excellent
Bahama Breeze Island Grille,I-Drive/Universal,Caribbean,3,Very Good
Maggiano's Little Italy,I-Drive/Universal,Italian,4,Very Good
Hawkers Asian Street Fare,Mills 50,"Asian, Thai",3,Excellent
Tako Cheena by Pom Pom,Mills 50,"Asian, Latin American, Vegetarian",1,Very Good
Seasons 52 Fresh Grill,Restaurant Row,American,4,Very Good
Hollerbach's Willow Tree CafÌ©,Sanford,German,3,Excellent
Pom Pom's Teahouse and Sandwicheria,The Milk District,"American, Sandwich, Tea",2,Excellent
Yellow Dog Eats,Windermere,"American, BBQ, Sandwich",3,Excellent
Tibby's New Orleans Kitchen,Winter Park,Cajun,2,Excellent
The Coop,Winter Park,"Southern, Cajun, Soul Food",2,Good
Bosphorous Turkish Cuisine,Winter Park,"Mediterranean, Turkish",3,Very Good
Ethos Vegan Kitchen,Winter Park,"American, Breakfast, Vegetarian",2,Very Good
Hillstone,Winter Park,,3,Very Good
The Ravenous Pig,Winter Park,Pub Food,3,Very Good
Vivo Bar and Grill,Palm Cove,"Mediterranean, Seafood",3,Very Good
Pier 70,Paynesville,Modern Australian,4,Average
DiVine,Penola,"Cafe, Coffee and Tea, Sandwich",2,Average
Cactus Flower Cafe Navarre,Navarre,"Mexican, Southwestern, Tex-Mex",2,Very Good
McGuire's Irish Pub & Brewery,Pensacola,"Burger, Bar Food, Steak",3,Excellent
New Yorker Deli & Pizzeria,Pensacola,"Italian, Pizza, Sandwich",1,Excellent
Tu-Do Vietnamese Restaurant,Pensacola,"Asian, Vietnamese",1,Excellent
Carrabba's Italian Grill,Pensacola,"Italian, Pizza, Seafood",3,Good
Jaco's Bayfront Bar and Grille,Pensacola,Tapas,2,Good
The Tin Cow,Pensacola,"Burger, Bar Food",2,Good
Cactus Flower Cafe,Pensacola,"Latin American, Mexican, Southwestern",2,Very Good
Dharma Blue,Pensacola,"Seafood, Sushi",3,Very Good
Global Grill,Pensacola,"European, International, Tapas",3,Very Good
Ichiban,Pensacola,"Japanese, Sushi",2,Very Good
The Fish House,Pensacola,"American, Seafood, Sushi",3,Very Good
Tuscan Oven,Pensacola,"Italian, Mediterranean, Pizza",2,Very Good
Flounders Chowder House,Pensacola Beach,Seafood,3,Good
Hemingway's Island Grill,Pensacola Beach,"Caribbean, Seafood, Steak",3,Good
Native Cafe,Pensacola Beach,"Breakfast, Burger",2,Very Good
Peg Leg Pete's,Pensacola Beach,"Burger, Sandwich, Seafood",3,Very Good
The Grand Marlin,Pensacola Beach,"Caribbean, Seafood",3,Very Good
Original Georgios Authentic Greek Food,Perdido Key,Greek,1,Excellent
Fisherman's Corner,Perdido Key,"Sandwich, Seafood, Cajun",3,Very Good
Mad Cowes Cafe,Phillip Island,"Breakfast, Coffee and Tea, Modern Australian",2,Good
Rupes Burgers,Blackfoot,"Burger, Fast Food",1,Good
Texas Roadhouse,Chubbuck,"American, BBQ, Steak",3,Good
Riverwalk Cafe,Lava Hot Springs,"Asian, Thai",1,Good
Royal Hotel,Lava Hot Springs,"Pizza, Bar Food",1,Good
Buddy's Italian Restaurant,Pocatello,"Italian, Pizza, Sandwich",3,Good
Butterburrs,Pocatello,"American, Breakfast",3,Good
Chang Garden,Pocatello,Chinese,1,Good
Fifth Street Bagelry,Pocatello,"Coffee and Tea, Sandwich",1,Good
Goody's Deli,Pocatello,"Pizza, Sandwich",1,Good
Grecian Key Restaurant,Pocatello,"American, Greek",2,Good
Outer Limits Fun Zone,Pocatello,"Burger, Pizza, Sandwich",1,Good
Portneuf Valley Brewing,Pocatello,"American, Pizza",2,Good
Sandpiper Restaurant & Lounge,Pocatello,"American, Seafood, Steak",3,Good
Senor Iguanas,Pocatello,Mexican,1,Good
